prompt_id,condition,type,constraint,usefulness,breakthrough,final_score,generative_power,explanatory_depth,non_obviousness,scalability,principle_over_impl,mode
american_government,single_pass_18_keep5,selected,1.0,0.7,0.8,0.82,0.8,0.7,0.85,0.9,0.75,
american_government,single_pass_18_keep5,candidate,1.0,0.5,0.8,0.78,0.8,0.7,0.85,0.9,0.75,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.8,0.72,0.792,0.7,0.6,0.8,0.8,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.8,0.68,0.768,0.7,0.6,0.7,0.8,0.6,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.6,0.76,0.776,0.8,0.7,0.85,0.75,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.7,0.7,0.76,0.7,0.6,0.8,0.7,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.8,0.62,0.732,0.6,0.5,0.7,0.7,0.6,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.7,0.76,0.7959999999999999,0.8,0.7,0.85,0.75,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.7,0.62,0.712,0.6,0.5,0.7,0.7,0.6,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.6,0.68,0.728,0.7,0.6,0.8,0.7,0.6,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.8,0.64,0.744,0.6,0.5,0.7,0.8,0.6,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.7,0.7,0.76,0.7,0.6,0.8,0.7,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.6,0.68,0.728,0.7,0.6,0.8,0.7,0.6,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.7,0.7,0.76,0.7,0.6,0.7,0.8,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.6,0.7,0.74,0.7,0.6,0.8,0.7,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.7,0.8,0.82,0.8,0.7,0.85,0.9,0.75,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.8,0.68,0.768,0.7,0.6,0.8,0.7,0.6,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.8,0.76,0.8160000000000001,0.8,0.7,0.85,0.75,0.7,single_pass
american_government,single_pass_18_keep5,candidate,1.0,0.8,0.68,0.768,0.7,0.6,0.8,0.7,0.6,single_pass
american_government,evolutionary_examples,selected,1.0,0.8,0.81,0.8460000000000001,0.8,0.7,0.9,0.85,0.8,
american_government,evolutionary_examples,candidate,0.8,0.6,0.71,0.706,0.7,0.6,0.8,0.7,0.75,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.6,0.81,0.806,0.8,0.7,0.9,0.8,0.85,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.7,0.71,0.766,0.7,0.6,0.8,0.7,0.75,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.6,0.8,0.8,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,evolutionary_examples,candidate,0.8,0.5,0.8,0.74,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,evolutionary_examples,candidate,1.0,0.7,0.83,0.8379999999999999,0.85,0.75,0.8,0.9,0.85,constraint_violation
american_government,evolutionary_examples,candidate,1.0,0.8,0.71,0.786,0.7,0.6,0.8,0.7,0.75,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.7,0.78,0.8079999999999999,0.7,0.8,0.9,0.7,0.8,structural_transfer
american_government,evolutionary_examples,candidate,0.8,0.7,0.72,0.732,0.7,0.6,0.8,0.7,0.8,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.6,0.79,0.794,0.8,0.7,0.8,0.9,0.85,constraint_violation
american_government,evolutionary_examples,candidate,1.0,0.6,0.8,0.8,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,evolutionary_examples,candidate,1.0,0.7,0.76,0.7959999999999999,0.8,0.7,0.85,0.75,0.8,constraint_violation
american_government,evolutionary_examples,candidate,0.8,0.7,0.71,0.726,0.7,0.6,0.8,0.9,0.85,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.7,0.7,0.76,0.7,0.6,0.8,0.7,0.75,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.7,0.72,0.772,0.7,0.6,0.8,0.7,0.8,structural_transfer
american_government,evolutionary_examples,candidate,1.0,0.8,0.81,0.8460000000000001,0.8,0.7,0.9,0.85,0.8,constraint_violation
american_government,evolutionary_examples,candidate,1.0,0.6,0.8,0.8,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,evolutionary_examples,candidate,1.0,0.7,0.76,0.7959999999999999,0.8,0.6,0.9,0.7,0.8,constraint_violation
american_government,evolutionary_examples,candidate,1.0,0.6,0.78,0.788,0.8,0.7,0.85,0.75,0.8,example_inspired
american_government,evolutionary_examples,candidate,1.0,0.8,0.71,0.786,0.7,0.6,0.8,0.7,0.75,example_inspired
american_government,evolutionary_examples,candidate,1.0,0.7,0.83,0.8379999999999999,0.85,0.75,0.8,0.9,0.85,example_inspired
american_government,evolutionary_examples,candidate,1.0,0.8,0.78,0.8280000000000001,0.8,0.7,0.75,0.85,0.8,example_inspired
american_government,evolutionary_examples,candidate,0.9,0.7,0.78,0.788,0.8,0.7,0.85,0.75,0.8,example_inspired
american_government,evolutionary_examples,candidate,1.0,0.7,0.7,0.76,0.7,0.6,0.8,0.7,0.7,example_inspired
american_government,divergent_convergent_18_keep5,selected,1.0,0.8,0.8,0.8400000000000001,0.8,0.7,0.9,0.85,0.75,
american_government,divergent_convergent_18_keep5,candidate,1.0,0.6,0.72,0.752,0.7,0.6,0.8,0.7,0.8,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,1.0,0.6,0.79,0.794,0.8,0.7,0.9,0.8,0.85,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,0.8,0.3,0.66,0.6160000000000001,0.6,0.5,0.8,0.7,0.7,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,1.0,0.5,0.8,0.78,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,1.0,0.8,0.8,0.8400000000000001,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,1.0,0.7,0.83,0.8379999999999999,0.9,0.7,0.85,0.9,0.8,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,1.0,0.6,0.7,0.74,0.7,0.6,0.8,0.7,0.7,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,0.8,0.7,0.71,0.726,0.7,0.6,0.8,0.7,0.75,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,0.9,0.6,0.71,0.726,0.7,0.6,0.8,0.7,0.75,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,0.9,0.7,0.8,0.8,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,0.9,0.5,0.8,0.76,0.85,0.75,0.9,0.8,0.7,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,1.0,0.7,0.78,0.8079999999999999,0.8,0.6,0.9,0.85,0.75,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,0.9,0.6,0.7,0.72,0.7,0.6,0.8,0.7,0.75,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,1.0,0.7,0.71,0.766,0.7,0.6,0.8,0.9,0.85,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,0.8,0.6,0.83,0.778,0.8,0.7,0.9,0.85,0.9,structural_transfer
american_government,divergent_convergent_18_keep5,candidate,1.0,0.6,0.8,0.8,0.8,0.7,0.9,0.85,0.75,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,1.0,0.6,0.81,0.806,0.8,0.7,0.9,0.8,0.85,constraint_violation
american_government,divergent_convergent_18_keep5,candidate,1.0,0.8,0.7,0.78,0.7,0.6,0.8,0.7,0.7,constraint_violation
climate_change,single_pass_18_keep5,selected,1.0,0.9,0.76,0.836,0.8,0.7,0.75,0.85,0.8,
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.76,0.8160000000000001,0.8,0.7,0.85,0.75,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.76,0.8160000000000001,0.8,0.7,0.75,0.85,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.74,0.804,0.8,0.7,0.7,0.9,0.6,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.76,0.8160000000000001,0.8,0.7,0.75,0.85,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.9,0.7,0.8,0.7,0.6,0.7,0.8,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.76,0.8160000000000001,0.8,0.7,0.75,0.85,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.7,0.74,0.784,0.8,0.6,0.7,0.9,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.74,0.804,0.7,0.6,0.8,0.9,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.76,0.8160000000000001,0.8,0.7,0.75,0.85,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.9,0.74,0.8240000000000001,0.7,0.8,0.6,0.9,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.74,0.804,0.8,0.7,0.6,0.9,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.7,0.74,0.784,0.8,0.6,0.7,0.9,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.78,0.8280000000000001,0.8,0.7,0.75,0.85,0.8,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.77,0.8220000000000001,0.8,0.7,0.75,0.9,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.68,0.768,0.7,0.6,0.6,0.8,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.9,0.76,0.836,0.8,0.7,0.75,0.85,0.8,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.9,0.7,0.8,0.7,0.6,0.7,0.8,0.7,single_pass
climate_change,single_pass_18_keep5,candidate,1.0,0.8,0.66,0.756,0.7,0.6,0.5,0.8,0.7,single_pass
climate_change,evolutionary_examples,selected,1.0,0.8,0.86,0.8760000000000001,0.9,0.8,0.85,0.9,0.85,
climate_change,evolutionary_examples,candidate,1.0,0.7,0.8,0.82,0.8,0.7,0.75,0.85,0.9,structural_transfer
climate_change,evolutionary_examples,candidate,1.0,0.7,0.76,0.7959999999999999,0.8,0.7,0.85,0.75,0.8,structural_transfer
climate_change,evolutionary_examples,candidate,1.0,0.6,0.7,0.74,0.7,0.6,0.8,0.7,0.7,structural_transfer
climate_change,evolutionary_examples,candidate,1.0,0.7,0.84,0.844,0.8,0.7,0.9,0.95,0.85,constraint_violation
climate_change,evolutionary_examples,candidate,1.0,0.6,0.87,0.8420000000000001,0.9,0.8,0.9,0.85,0.9,constraint_violation
climate_change,evolutionary_examples,candidate,1.0,0.8,0.86,0.8760000000000001,0.9,0.8,0.85,0.9,0.85,constraint_violation
climate_change,evolutionary_examples,candidate,1.0,0.7,0.8,0.82,0.8,0.7,0.75,0.85,0.9,structural_transfer
climate_change,evolutionary_examples,candidate,1.0,0.7,0.78,0.8079999999999999,0.8,0.7,0.75,0.85,0.8,structural_transfer
